Stage project_discovery: 164ms; RSS 105 MiB
Stage project_discovery: 20444ms; RSS 204 MiB
Stage primary_extraction [1/133]: 1851ms; RSS 262 MiB
Stage schema_pass [1/133]: 49ms; RSS 264 MiB
Stage framework_pass [1/133]: 84ms; RSS 269 MiB
Stage string_literal_pass [1/133]: 69ms; RSS 272 MiB
Stage param_flow_pass [1/133]: 11ms; RSS 272 MiB
Stage route_pass [1/133]: 57ms; RSS 273 MiB
Batch 1/133: 31 files from /tmp/opencode/r2-task2-compensation-fresh-20260731/scan-one-source/apps/accounts/tsconfig.json in 2516ms; RSS 273 MiB
Stage primary_extraction [2/133]: 17ms; RSS 277 MiB
Stage schema_pass [2/133]: 17ms; RSS 277 MiB
Stage framework_pass [2/133]: 1ms; RSS 277 MiB
Stage string_literal_pass [2/133]: 1ms; RSS 277 MiB
Stage param_flow_pass [2/133]: 7ms; RSS 277 MiB
Stage route_pass [2/133]: 1ms; RSS 277 MiB
Batch 2/133: 3 files from /tmp/opencode/r2-task2-compensation-fresh-20260731/scan-one-source/apps/activity-vinext-fixture/tsconfig.json in 95ms; RSS 277 MiB
Stage primary_extraction [3/133]: 1990ms; RSS 213 MiB
Stage schema_pass [3/133]: 131ms; RSS 223 MiB
Stage framework_pass [3/133]: 222ms; RSS 238 MiB
Stage string_literal_pass [3/133]: 145ms; RSS 238 MiB
Stage param_flow_pass [3/133]: 9ms; RSS 238 MiB
Stage route_pass [3/133]: 229ms; RSS 239 MiB
Batch 3/133: 32 files from /tmp/opencode/r2-task2-compensation-fresh-20260731/scan-one-source/apps/advantage-games/tsconfig.json in 3180ms; RSS 239 MiB
Stage primary_extraction [4/133]: 93ms; RSS 242 MiB
Stage schema_pass [4/133]: 661ms; RSS 197 MiB
Stage framework_pass [4/133]: 6ms; RSS 195 MiB
Stage string_literal_pass [4/133]: 3ms; RSS 195 MiB
Stage param_flow_pass [4/133]: 5ms; RSS 195 MiB
Stage route_pass [4/133]: 12ms; RSS 196 MiB
Batch 4/133: 32 files from /tmp/opencode/r2-task2-compensation-fresh-20260731/scan-one-source/apps/advantage-games/tsconfig.json in 998ms; RSS 196 MiB
Stage primary_extraction [5/133]: 6594ms; RSS 246 MiB
Stage schema_pass [5/133]: 186ms; RSS 245 MiB
Stage framework_pass [5/133]: 701ms; RSS 260 MiB
Stage string_literal_pass [5/133]: 261ms; RSS 260 MiB
Stage param_flow_pass [5/133]: 56ms; RSS 260 MiB
Stage route_pass [5/133]: 400ms; RSS 260 MiB
Batch 5/133: 32 files from /tmp/opencode/r2-task2-compensation-fresh-20260731/scan-one-source/apps/advantage-games/tsconfig.json in 9345ms; RSS 261 MiB
Stage primary_extraction [6/133]: 3696ms; RSS 266 MiB
Stage schema_pass [6/133]: 81ms; RSS 270 MiB
Stage framework_pass [6/133]: 432ms; RSS 284 MiB
Stage string_literal_pass [6/133]: 106ms; RSS 288 MiB
Stage param_flow_pass [6/133]: 177ms; RSS 288 MiB
