package_app	file	line_count	reviewer	status	evidence_file	reviewed_ranges	finding_count
apps/primary-advantage	apps/primary-advantage/app/api/assignments/[id]/progress/route.ts	9	measure-jr-green/primary-advantage-013	reviewed	measure/tracks/primary_advantage_full_review_20260626/line-review/evidence/primary-advantage-013.md	1-9	1
apps/primary-advantage	apps/primary-advantage/app/api/assignments/[id]/route.ts	19	measure-jr-green/primary-advantage-013	reviewed	measure/tracks/primary_advantage_full_review_20260626/line-review/evidence/primary-advantage-013.md	1-19	2
apps/primary-advantage	apps/primary-advantage/app/api/assignments/activity/[id]/route.ts	9	measure-jr-green/primary-advantage-013	reviewed	measure/tracks/primary_advantage_full_review_20260626/line-review/evidence/primary-advantage-013.md	1-9	1
apps/primary-advantage	apps/primary-advantage/app/api/assignments/route.ts	13	measure-jr-green/primary-advantage-013	reviewed	measure/tracks/primary_advantage_full_review_20260626/line-review/evidence/primary-advantage-013.md	1-13	2
apps/primary-advantage	apps/primary-advantage/app/api/assistant/lesson-chatbot/route.ts	150	measure-jr-green/primary-advantage-013	reviewed	measure/tracks/primary_advantage_full_review_20260626/line-review/evidence/primary-advantage-013.md	1-150	5
apps/primary-advantage	apps/primary-advantage/app/api/auth/impersonate/route.ts	2	measure-jr-green/primary-advantage-013	reviewed	measure/tracks/primary_advantage_full_review_20260626/line-review/evidence/primary-advantage-013.md	1-2	0
apps/primary-advantage	apps/primary-advantage/app/api/auth/login/route.ts	2	measure-jr-green/primary-advantage-013	reviewed	measure/tracks/primary_advantage_full_review_20260626/line-review/evidence/primary-advantage-013.md	1-2	0
apps/primary-advantage	apps/primary-advantage/app/api/auth/logout/route.ts	2	measure-jr-green/primary-advantage-013	reviewed	measure/tracks/primary_advantage_full_review_20260626/line-review/evidence/primary-advantage-013.md	1-2	0
apps/primary-advantage	apps/primary-advantage/app/api/auth/register/route.ts	2	measure-jr-green/primary-advantage-013	reviewed	measure/tracks/primary_advantage_full_review_20260626/line-review/evidence/primary-advantage-013.md	1-2	0
apps/primary-advantage	apps/primary-advantage/app/api/auth/reset-password/route.ts	2	measure-jr-green/primary-advantage-013	reviewed	measure/tracks/primary_advantage_full_review_20260626/line-review/evidence/primary-advantage-013.md	1-2	0
