package_app	file	line_count	reviewer	status	evidence_file	reviewed_ranges	finding_count
apps/primary-advantage	apps/primary-advantage/app/api/auth/session/route.ts	2	measure-jr-green/primary-advantage-014	reviewed	measure/tracks/primary_advantage_full_review_20260626/line-review/evidence/primary-advantage-014.md	1-2	0
apps/primary-advantage	apps/primary-advantage/app/api/classroom/[id]/available-students/route.ts	10	measure-jr-green/primary-advantage-014	reviewed	measure/tracks/primary_advantage_full_review_20260626/line-review/evidence/primary-advantage-014.md	1-10	0
apps/primary-advantage	apps/primary-advantage/app/api/classroom/[id]/enroll/route.ts	10	measure-jr-green/primary-advantage-014	reviewed	measure/tracks/primary_advantage_full_review_20260626/line-review/evidence/primary-advantage-014.md	1-10	0
apps/primary-advantage	apps/primary-advantage/app/api/classroom/[id]/generate-code/route.ts	11	measure-jr-green/primary-advantage-014	reviewed	measure/tracks/primary_advantage_full_review_20260626/line-review/evidence/primary-advantage-014.md	1-11	0
apps/primary-advantage	apps/primary-advantage/app/api/classroom/[id]/route.ts	66	measure-jr-green/primary-advantage-014	reviewed	measure/tracks/primary_advantage_full_review_20260626/line-review/evidence/primary-advantage-014.md	1-66	2
apps/primary-advantage	apps/primary-advantage/app/api/classroom/[id]/unenroll/route.ts	10	measure-jr-green/primary-advantage-014	reviewed	measure/tracks/primary_advantage_full_review_20260626/line-review/evidence/primary-advantage-014.md	1-10	0
apps/primary-advantage	apps/primary-advantage/app/api/classroom/route.ts	54	measure-jr-green/primary-advantage-014	reviewed	measure/tracks/primary_advantage_full_review_20260626/line-review/evidence/primary-advantage-014.md	1-54	1
apps/primary-advantage	apps/primary-advantage/app/api/classroom/students/route.ts	6	measure-jr-green/primary-advantage-014	reviewed	measure/tracks/primary_advantage_full_review_20260626/line-review/evidence/primary-advantage-014.md	1-6	0
apps/primary-advantage	apps/primary-advantage/app/api/classrooms/route.ts	120	measure-jr-green/primary-advantage-014	reviewed	measure/tracks/primary_advantage_full_review_20260626/line-review/evidence/primary-advantage-014.md	1-120	4
apps/primary-advantage	apps/primary-advantage/app/api/debug/auth/route.ts	79	measure-jr-green/primary-advantage-014	reviewed	measure/tracks/primary_advantage_full_review_20260626/line-review/evidence/primary-advantage-014.md	1-79	2
