Stage project_discovery: 47ms; RSS 117 MiB
Stage project_discovery: 4698ms; RSS 209 MiB
Stage primary_extraction [1/134]: 1040ms; RSS 266 MiB
Stage schema_pass [1/134]: 32ms; RSS 267 MiB
Stage framework_pass [1/134]: 51ms; RSS 275 MiB
Stage string_literal_pass [1/134]: 45ms; RSS 279 MiB
Stage param_flow_pass [1/134]: 7ms; RSS 279 MiB
Stage route_pass [1/134]: 29ms; RSS 279 MiB
Batch 1/134: 31 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-two-source/apps/accounts/tsconfig.json in 1502ms; RSS 279 MiB
Stage primary_extraction [2/134]: 7ms; RSS 283 MiB
Stage schema_pass [2/134]: 14ms; RSS 284 MiB
Stage framework_pass [2/134]: 1ms; RSS 284 MiB
Stage string_literal_pass [2/134]: 0ms; RSS 284 MiB
Stage param_flow_pass [2/134]: 1ms; RSS 284 MiB
Stage route_pass [2/134]: 1ms; RSS 284 MiB
Batch 2/134: 3 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-two-source/apps/activity-vinext-fixture/tsconfig.json in 32ms; RSS 284 MiB
Stage primary_extraction [3/134]: 1096ms; RSS 226 MiB
Stage schema_pass [3/134]: 43ms; RSS 237 MiB
Stage framework_pass [3/134]: 77ms; RSS 240 MiB
Stage string_literal_pass [3/134]: 27ms; RSS 241 MiB
Stage param_flow_pass [3/134]: 3ms; RSS 241 MiB
Stage route_pass [3/134]: 106ms; RSS 251 MiB
Batch 3/134: 32 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-two-source/apps/advantage-games/tsconfig.json in 1544ms; RSS 252 MiB
Stage primary_extraction [4/134]: 21ms; RSS 254 MiB
Stage schema_pass [4/134]: 47ms; RSS 255 MiB
Stage framework_pass [4/134]: 2ms; RSS 255 MiB
Stage string_literal_pass [4/134]: 2ms; RSS 255 MiB
Stage param_flow_pass [4/134]: 2ms; RSS 255 MiB
Stage route_pass [4/134]: 5ms; RSS 256 MiB
Batch 4/134: 32 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-two-source/apps/advantage-games/tsconfig.json in 104ms; RSS 256 MiB
Stage primary_extraction [5/134]: 1265ms; RSS 249 MiB
Stage schema_pass [5/134]: 87ms; RSS 261 MiB
Stage framework_pass [5/134]: 86ms; RSS 266 MiB
Stage string_literal_pass [5/134]: 94ms; RSS 272 MiB
Stage param_flow_pass [5/134]: 9ms; RSS 272 MiB
Stage route_pass [5/134]: 58ms; RSS 269 MiB
