File	Lines	ExistingTest	CoverageGap	Priority	SuggestedTestType	Notes
src/components/layout/fade-in.tsx	0	None	File is EMPTY (0 lines) — no component exists. If imported, causes runtime error	Critical	Infra	Either implement as a children-wrapping component with fade-in animation, or delete the file and remove all imports. Check import usage across the codebase.
src/components/layout/page-transition.tsx	0	None	File is EMPTY (0 lines) — no component exists. If imported, causes runtime error	Critical	Infra	Either implement as a page transition wrapper, or delete the file and remove all imports.
src/components/layout/scroll-fade.tsx	0	None	File is EMPTY (0 lines) — no component exists. If imported, causes runtime error	Critical	Infra	Either implement as a scroll-triggered fade wrapper, or delete the file and remove all imports.
src/components/marketing/hero-section.tsx	283	src/components/marketing/hero-section.test.tsx (Active)	Existing test covers basic heading/description/CTA rendering. Missing: background image with parallax, badge variants, left-aligned layout path, productLogo rendering, floatingImage, customGradient, ReactNode title/description types	Medium	Component	Expand test to cover: both layout paths (center + left), ReactNode title types, badge variants, background image rendering, productLogo rendering, custom gradient
src/components/marketing/marketing-svg.tsx	33	None	No test for MarketingSvg server component	Medium	Component	Test: SVG file resolution for different locales (en, th, zh), Thai variant detection, missing SVG fallback behavior, aria-label and role attributes
src/components/marketing/marketing-svg-client.tsx	47	None	No test for MarketingSvgClient component	Medium	Component	Test: locale extraction from pathname, Thai variant selection via TH_VARIANTS set, aria-label and role attributes, missing SVG behavior
src/components/marketing/mastery-advantage-graph.tsx	548	None	No test for the animated SVG knowledge graph	High	Component	Test: SVG rendering for each domain, IntersectionObserver triggers animation, domain cycling, caption text updates, node state transitions, prefers-reduced-motion, cleanup on unmount
src/components/marketing/mastery-advantage-graph-data.ts	620	None	No test for graph data definitions	Low	Data/Unit	Test: data structure validity for all 8 domains (reading, primary, storytime, math, science, stem, zhongwen, tutor), cluster/node/edge counts, no duplicate IDs, internal consistency of forgetIdx/currentIdx/learnIdx values
src/components/common/localized-link.tsx	46	src/components/common/localized-link.test.tsx (Active)	Existing test has 7 tests covering all locale-prefix scenarios — good coverage.	—	—	Existing test is adequate. Consider adding: tel: link handling, edge cases for empty href, href with query parameters
src/components/contact/contact-form.tsx	151	None	No test for the contact form component	Critical	Component	Test: form field rendering (name, email, product dropdown, company, role, message), form validation (required fields), mailto: URL construction on submit, product dropdown population from productLinks, i18n field labels, form reset behavior, error handling for missing fields
