File	Lines	ExistingTest	CoverageGap	Priority	SuggestedTestType	Notes
src/components/features/comparison-table.tsx	142	None	No test exists	High	Component	Test: row rendering for 7 feature rows, 5 columns each, title/lastUpdated display, mark icons rendering (✔/✘/⚬), scroll wrapper presence, Thai/Chinese locale text rendering
src/components/pricing/pricing-table.tsx	220	None	No test exists	High	Component	Test: 3-tier header rendering (Basic/AI Enhanced/AI Tutor), 25 feature rows, boolean vs string vs coming-soon value rendering, hover styles, overflow-x-auto scroll, lastUpdated display
src/components/products/b2b-solutions.tsx	331	None	No test exists	High	Component	Test: 8 product cards rendering, readingAdvantage featured layout (col-span-full), badge labels (new/flagship/none), grade range display, 4 features per product, CTA "Learn More" links, seeSuccessStories card, locale switching, image alt text
src/components/products/b2c-solutions.tsx	176	None	No test exists	High	Component	Test: 4 feature cards rendering with icons, codecamp highlight card, 4 highlights + 4 outcomes lists, CTA buttons (Apply Now, View Curriculum) with href, hover animation classes, locale string rendering
src/components/products/product-card.tsx	39	None	No test exists	Medium	Component	Test: title/gradeRange/description/href rendering, CTA label with arrow icon, index-based animation delay, hover transitions, responsive styles
src/components/products/tutor-advantage.tsx	132	None	No test exists	High	Component	Test: heading/description rendering, 4 feature cards with icons, "Join Our Network" button href, joinCaption text, gradient background classes, decorative elements, locale string rendering
src/components/blog/blog-breadcrumbs.tsx	29	None	No test exists	Medium	Component	Test: Home and Blog links href, aria-label="Breadcrumb", aria-current="page" on last item, divider rendering, truncate class on post title, locale-aware href via Link component
src/components/blog/blog-card.tsx	58	None	No test exists	Medium	Component	Test: coverImage rendering (next/image with alt), date formatting via Intl.DateTimeFormat, readingTime locale key, post title link href, excerpt display, tags rendering, responsive sizes attribute
src/components/blog/blog-header.tsx	27	None	No test exists	Medium	Component	Test: date/author/readingTime display, tag wrapping for pricingTime, h1 heading, Intl.DateTimeFormat locale awareness, locale prop affects date format
src/components/blog/blog-layout.tsx	15	None	No test exists	Low	Component	Basic smoke test: children rendering, max-w-4xl container with padding
src/components/blog/blog-tags.tsx	22	None	No test exists	Low	Component	Test: tag link generation (href="/blog/tag/{tag}") with lowercase, flex-wrap behavior, class merging via className prop
src/components/blog/contact-cta.tsx	30	None	No test exists	Medium	Component	Test: en/th locale switching (heading, description, CTA text), gradient background, CTA link href="/contact", ArrowRight icon
