File	Lines	ExistingTest	CoverageGap	Priority	SuggestedTestType	Notes
src/app/[locale]/(marketing)/products/tutor-advantage/page.tsx	426	src/app/[locale]/(marketing)/products/tutor-advantage/page.test.tsx (Active)	Existing test covers only DOM presence (4 selectors). Missing: metadata export values, hero section rendering, CTA link href verification, SVG analytics section, hardcoded step titles test, grid-pattern.svg missing asset test, past-due launch year test	Medium	Page	Expand test to verify metadata export values, CTA hrefs, key locale-dependent text rendering, handle "ComingSoon" badge text
src/app/[locale]/(marketing)/products/zhongwen-advantage/page.tsx	480	src/app/[locale]/(marketing)/products/zhongwen-advantage/page.test.tsx (Active)	Existing test covers only DOM presence (4 selectors). Missing: metadata generation, hardcoded English content detection, CTA links, locale-specific rendering, waitlist form (should verify missing action/onSubmit)	High	Page	Expand test to verify metadata values, hardcoded strings vs locale, waitlist form behavior (missing action), hero section, level mapping data rendering
src/app/[locale]/(marketing)/services/page.tsx	172	None	No test exists for services overview page	High	Page	Test: metadata export (currently missing), service card rendering from locale data, hero section integration, CTA button links, StatusBadge rendering for different states
src/app/[locale]/(marketing)/services/blended-learning/page.tsx	332	None	No test exists for blended learning page	High	Page	Test: metadata export (currently missing), hero section rendering, feature grid with 6 items, teacher challenges, level progression, onboarding items with icon mapping, dual CTA buttons
src/app/[locale]/(marketing)/services/managed-service/page.tsx	224	None	No test exists for managed service page	High	Page	Test: metadata export (currently missing), hero section, overview with feature list, benefits section, roadmap section with date display, CTA buttons
src/app/[locale]/layout.tsx	31	None	No test for root layout	Medium	Layout/Page	Test: metadata export values, default OG image path (verify `/images/og-image.jpg` exists), locale propagation to html element, LocaleProvider wrapping
src/app/[locale]/(marketing)/layout.tsx	23	None	No test for marketing layout	Low	Layout	Test: Header rendering, Footer rendering, children rendering, fade-in animation class presence
src/app/[locale]/(marketing)/products/reading-advantage/layout.tsx	19	None	No test for RA sub-layout	Low	Layout	Test: metadata export values (note: may conflict with client-side page), OG image path verification
src/components/layout/header.tsx	177	None	No test for header component	High	Component	Test: navigation link rendering from locale, active link highlighting, mobile sheet toggle, LocaleSwitcher presence, logo rendering, CTA button
src/components/common/footer.tsx	101	None	No test for footer component	Medium	Component	Test: quick links rendering, contact details (hardcoded email/phone), Line QR image, copyright year dynamic, locale-aware Link usage
